,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1977,0.495992764,0.26775092,0.121465752,0.045439161,0.020886114,0.01196424,0.007975286,0.005732836,0.004387541,0.003463133,0.002712289,0.002061162,0.001625286,0.001313229,0.001072778,0.000891945,0.000746979,0.000620284,0.000517987,0.003380312
1978,0.547537082,0.261359142,0.109722278,0.035870762,0.014708269,0.007544469,0.004812969,0.00353546,0.002756262,0.0022445,0.001848881,0.001453827,0.001108133,0.000875544,0.000708147,0.000579643,0.000482418,0.000404012,0.000335823,0.002112378
1979,0.479387711,0.343452835,0.114897277,0.030995053,0.011147005,0.005162765,0.002988946,0.002128398,0.001714225,0.001433832,0.001225675,0.001013682,0.000799482,0.000610599,0.000482922,0.000391373,0.000320673,0.000266886,0.000223733,0.001356931
1980,0.622777524,0.223124238,0.111761047,0.02448837,0.007304783,0.002982537,0.001567765,0.001018527,0.000798812,0.000692639,0.000609626,0.000523212,0.000434017,0.000342991,0.000262219,0.000207804,0.000168578,0.000138125,0.000115072,0.000682115
1981,0.330784785,0.504194462,0.113508347,0.034115786,0.008355024,0.002883907,0.001364629,0.000821268,0.000597734,0.00051129,0.000470782,0.000416019,0.000358121,0.000297665,0.000235471,0.00018038,0.000143091,0.000116081,9.52E-05,0.000549952
1982,0.601503654,0.190285242,0.173523601,0.02190637,0.007356688,0.002091295,0.000839252,0.000456046,0.000308257,0.000245169,0.000223,0.000206155,0.000182722,0.000157607,0.000131132,0.000103941,7.97E-05,6.32E-05,5.13E-05,0.000285597
1983,0.795465714,0.147739812,0.033453597,0.01888087,0.002586058,0.000965894,0.000304641,0.00013423,7.89E-05,5.66E-05,4.69E-05,4.28E-05,3.97E-05,3.53E-05,3.04E-05,2.54E-05,2.01E-05,1.54E-05,1.23E-05,6.54E-05
1984,0.660823569,0.303415366,0.029936718,0.003190288,0.001998004,0.000318873,0.000139107,5.06E-05,2.51E-05,1.62E-05,1.24E-05,1.03E-05,9.43E-06,8.76E-06,7.79E-06,6.74E-06,5.62E-06,4.46E-06,3.42E-06,1.72E-05
1985,0.414564319,0.459512145,0.117400039,0.006769175,0.000834122,0.00062883,0.000121294,6.31E-05,2.66E-05,1.48E-05,1.03E-05,7.90E-06,6.59E-06,6.05E-06,5.63E-06,5.01E-06,4.34E-06,3.62E-06,2.88E-06,1.33E-05
1986,0.380116208,0.375897028,0.209356781,0.031566526,0.002180881,0.00033672,0.000320235,7.67E-05,4.78E-05,2.32E-05,1.42E-05,9.92E-06,7.64E-06,6.39E-06,5.87E-06,5.47E-06,4.88E-06,4.22E-06,3.53E-06,1.58E-05
1987,0.762669187,0.108990884,0.08490622,0.036498905,0.006200264,0.000485666,8.46E-05,8.98E-05,2.35E-05,1.57E-05,8.01E-06,4.92E-06,3.45E-06,2.66E-06,2.23E-06,2.05E-06,1.91E-06,1.71E-06,1.48E-06,6.78E-06
1988,0.531836716,0.374869654,0.046711881,0.029621016,0.013981852,0.0026192,0.000225105,4.26E-05,4.84E-05,1.34E-05,9.27E-06,4.73E-06,2.92E-06,2.05E-06,1.58E-06,1.33E-06,1.22E-06,1.14E-06,1.02E-06,4.94E-06
1989,0.284950479,0.399407459,0.256654035,0.027548032,0.019158745,0.009932501,0.002033152,0.000189024,3.82E-05,4.56E-05,1.30E-05,9.08E-06,4.65E-06,2.87E-06,2.02E-06,1.56E-06,1.31E-06,1.21E-06,1.13E-06,5.89E-06
1990,0.160458012,0.261175418,0.339153595,0.188493401,0.022071314,0.016767541,0.009446335,0.002080806,0.00020562,4.35E-05,5.37E-05,1.54E-05,1.08E-05,5.52E-06,3.42E-06,2.41E-06,1.86E-06,1.56E-06,1.44E-06,8.39E-06
1991,0.202123633,0.115539255,0.20956681,0.267249835,0.158950146,0.019600217,0.015524097,0.009042027,0.002046214,0.00020643,4.43E-05,5.48E-05,1.58E-05,1.11E-05,5.67E-06,3.52E-06,2.48E-06,1.92E-06,1.61E-06,1.02E-05
